,year,name,fpop0_4,fpop5_9,fpop10_14,fpop15_19,fpop20_24,fpop25_29,fpop30_34,fpop35_39,fpop40_44,fpop45_49,fpop50_54,fpop55_59,fpop60_64,fpop65_69,fpop70_74,fpop75_79,fpop80_84,fpop85_89,fpop90_94,fpop95_99,fpop100_,mpop0_4,mpop5_9,mpop10_14,mpop15_19,mpop20_24,mpop25_29,mpop30_34,mpop35_39,mpop40_44,mpop45_49,mpop50_54,mpop55_59,mpop60_64,mpop65_69,mpop70_74,mpop75_79,mpop80_84,mpop85_89,mpop90_94,mpop95_99,mpop100_
0,2020,Andorra,1542,1861,2153,2253,1970,1909,1858,2713,3653,4117,3891,3589,2854,2216,1807,1328,875,607,392,138,13,1642,1982,2279,2335,2139,2027,1988,2731,3776,4210,4128,3939,3252,2503,2000,1366,806,532,259,80,9
1,2020,United Arab Emirates,267548,252399,241445,207254,206193,306507,468470,446416,234742,126582,84236,51192,31582,16801,10372,5715,2920,1251,448,96,16,281152,263353,270688,239658,258417,497475,1044030,1397236,937023,606673,478717,301347,146649,63509,27306,10655,4208,1367,426,85,14
2,2020,Afghanistan,2767720,2391331,2113057,1902504,1921156,1560666,1220074,910118,774177,668294,536425,426309,327206,238677,158497,90441,39759,12199,2273,227,11,2853740,2465285,2181184,1967982,1991199,1621403,1269634,948829,816427,681195,541352,420619,312284,215715,135231,72477,29613,8059,1305,116,6
3,2020,Antigua and Barbuda,3637,3592,3582,3813,4129,3798,3715,3697,3638,3589,3706,3265,2607,1903,1362,830,478,271,111,29,4,3791,3711,3645,3812,4061,3567,3206,3063,3004,2902,3012,2617,2101,1507,1040,622,352,169,59,13,2
4,2020,Anguilla,637,641,629,630,616,602,658,666,738,773,782,740,524,321,229,153,95,53,25,8,2,664,660,647,652,616,563,612,544,531,585,593,543,456,329,238,157,91,41,17,4,1
5,2020,Albania,93657,85777,76656,100068,126318,140186,138330,114455,95734,91799,90365,98003,91726,70236,49504,44681,30186,15172,5764,1471,165,101986,95525,87019,111472,135699,146861,134823,105444,77973,77916,79651,91079,87327,67311,46874,38305,23604,9137,2264,379,28
6,2020,Armenia,88170,91615,86035,78480,88716,118218,138446,125546,100454,89002,89944,117247,112872,82734,50949,31198,39394,15550,5368,546,34,97737,103503,95915,88751,95532,116854,135333,121758,96454,85708,83155,100027,96013,63359,36251,19543,22933,8576,3186,350,27
7,2020,Angola,3010596,2605507,2181282,1732108,1377731,1179576,1012650,846146,696991,563345,441897,340967,250299,173997,120578,79717,42541,15402,3400,405,24,3053075,2587805,2117257,1659801,1291277,1067172,901147,759080,641737,519045,413543,311931,211600,130130,83921,59251,28422,8729,1592,155,8
8,2020,Argentina,1768125,1794805,1729498,1707180,1659470,1647152,1634867,1615363,1588142,1350152,1166221,1094195,1031402,936973,777406,603217,440067,273025,120886,30393,3784,1880419,1907146,1838554,1807847,1730564,1704309,1651828,1599703,1581924,1333180,1133809,1044917,957339,828144,636912,433712,263048,125445,40410,7421,696
9,2020,American Samoa,2080,2123,2164,2296,1926,2104,1496,1327,1269,1363,1479,1379,1001,723,455,254,176,90,38,14,3,2202,2259,2297,2391,1873,1950,1394,1207,1370,1384,1493,1262,1025,625,426,246,146,58,19,4,1
10,2020,Austria,204775,200830,199442,209806,241422,287295,292443,301005,279092,313917,358215,348929,293135,241506,220496,205901,153783,91603,50706,20757,3363,215354,212428,207976,218076,248848,295984,298164,299216,277078,303383,358050,350856,284705,221499,192117,162219,109004,52925,23221,6035,789
11,2020,Australia,763163,781178,765111,735285,837394,936241,938568,905468,834989,851481,788189,774372,723265,642760,560445,391402,275551,174063,96000,31124,5083,810016,831776,815274,797528,912623,972649,913600,882461,834958,856619,763274,726007,671629,592800,526635,349635,219903,115828,49995,11871,1493
12,2020,Aruba,3535,3476,3408,3368,3804,3982,4127,4503,3963,4104,4368,5104,4336,3857,2897,2003,1274,631,189,31,4,3563,3499,3411,3360,3862,3900,3901,4188,3896,3830,3702,4433,3906,2855,1951,1211,709,278,67,10,0
13,2020,Azerbaijan,362091,370164,359852,298622,330798,451857,463258,398326,341920,330050,346311,356816,279473,173278,103141,56640,73887,34035,12538,2180,239,392133,420331,419181,346489,368272,475923,481599,402274,331106,305008,297251,297044,234561,132222,68736,33115,37045,14947,4265,457,30
14,2020,Bosnia and Herzegovina,80731,82258,81176,87564,113670,116607,139497,143024,144319,151644,153367,155470,145678,127110,91425,61871,55310,25545,7153,948,45,86515,88129,86696,92851,121537,124211,144550,144411,141160,148647,157057,151924,133144,108044,68900,39049,24787,6076,634,17,0
15,2020,Barbados,8379,8681,8965,9218,9267,10281,10094,10805,10342,11336,12082,11452,10724,8834,5771,4130,2722,1602,760,218,38,8429,8683,8902,9098,9095,10168,10062,10657,10098,11109,11706,10799,9482,7263,4354,2774,1528,744,280,61,8
16,2020,Bangladesh,6978869,6988661,7093649,7307305,7678770,7126291,6668034,6072302,5476910,5049561,4152190,3379606,2752075,2187990,1624196,1096681,621610,278229,82372,14241,1159,7216500,7223870,7371392,7535366,7637851,6723483,6085858,5569656,4924285,4500060,3908968,3323920,2634371,2058279,1477299,950357,505577,198143,49160,6962,480
17,2020,Belgium,322019,329929,331649,313565,328554,365240,383210,385886,374600,378646,390979,401960,374102,329740,296716,213333,187520,135154,68073,22301,3317,337677,345790,348778,329655,341090,375368,386560,388823,382069,386584,400337,402933,362024,307575,263210,172158,129556,75302,28691,6861,701
18,2020,Burkina Faso,1650799,1506446,1315584,1158004,956211,846833,727861,588438,461179,345395,296221,237715,185298,141725,96995,72017,37800,19920,4786,758,57,1698016,1550557,1356632,1199047,921967,762580,654594,569087,404832,247696,211829,179250,142167,110289,78197,52187,28097,12788,2891,366,25
19,2020,Bulgaria,146138,163856,181478,159242,154993,184833,236377,250685,274816,261422,240078,237345,245474,246221,235885,164164,112413,59301,13769,1542,49,154843,173229,192056,171456,168869,201829,253084,271083,296332,274333,242091,223003,211061,190174,162449,101517,62812,33982,9645,1455,78
20,2020,Bahrain,46361,45672,44186,46360,52401,58463,59667,56745,49567,39705,30580,23018,15999,9561,5579,4170,3016,1749,693,182,31,47427,46673,46224,54635,74567,94159,104605,112106,103053,78843,57502,38018,26980,12873,5704,3342,2364,1285,484,103,13
21,2020,Burundi,945858,852931,772861,641721,530445,439407,374084,310054,253615,203406,167620,143661,120465,92740,55024,32082,18631,7483,1710,216,15,964204,864311,780334,644984,527738,432792,368868,308736,248143,197661,157737,128583,102508,75022,41314,22056,11669,4240,860,95,6
22,2020,Benin,1154420,953632,796408,704612,614209,509464,416822,341896,286254,235830,145522,115630,95797,68683,47604,29785,14418,5313,1282,173,13,1190205,963276,800232,703577,596821,467185,364800,297513,256670,217175,131870,106604,86946,61632,40535,23123,10682,3631,799,102,7
23,2020,Saint Barthelemy,162,174,184,101,147,236,219,197,216,238,261,271,260,231,189,133,80,37,17,4,1,170,186,194,106,170,276,261,236,258,279,309,325,303,261,202,128,69,28,9,1,2
24,2020,Bermuda,1945,1924,1948,2063,2091,2161,2094,1994,1855,1999,2469,3149,3058,2437,1939,1521,1069,710,342,113,22,2046,2031,2059,2184,2226,2269,2121,2060,1877,2041,2417,2918,2624,2105,1591,1121,653,400,138,29,5
25,2020,Brunei,17957,16661,15501,17167,20355,22202,23692,21552,19199,15697,12980,10541,9165,6512,3639,1806,1261,632,168,29,2,18857,17796,16603,17523,19840,20667,21560,19312,17291,14030,11269,9932,9344,6611,3555,1824,947,353,98,14,1
26,2020,Bolivia,565915,566427,571257,564513,525998,502409,473314,420836,351101,294265,242823,209986,178182,140409,104374,70701,40830,22169,8980,1952,215,588498,587843,591078,582132,538935,510507,474196,415941,338731,269134,207981,178248,150657,117450,86083,54647,28147,13376,4570,795,69
27,2020,Brazil,6998604,7214055,7698251,8378569,8401494,8140415,8411517,8643707,7951147,7101334,6565125,5989067,4966269,3964366,2971075,2054105,1310301,654097,228963,44598,4088,7291389,7499995,7991172,8665251,8620819,8268880,8446545,8561141,7751450,6817869,6192447,5472554,4369492,3323818,2333363,1473635,823027,340774,92007,13608,949
28,2020,"Bahamas, The",12666,12541,12498,12548,13688,14152,12309,12152,12553,13117,12640,11024,8641,6732,4830,3379,2107,1052,354,81,10,13037,12904,12855,12900,14035,14473,12531,12315,12464,12532,11844,9773,6949,4967,3243,2033,1125,458,120,21,2
29,2020,Bhutan,33072,33437,34970,36985,38218,40219,40910,34569,27379,21474,17226,13634,10734,8640,6960,5106,3177,1489,446,72,7,34523,34813,36350,38404,39588,41776,42513,38963,32320,25429,20064,15390,12190,9638,7537,5442,3296,1460,409,59,5
30,2020,Botswana,116881,117635,115875,109696,105765,102903,96863,94568,79346,61410,49832,43043,34844,26124,18880,14892,9610,4309,1166,165,12,119699,120126,117076,107303,101521,100121,83353,76365,68444,58428,47548,34921,24478,18764,14882,10882,6115,2362,617,81,5
31,2020,Belarus,233990,256463,249829,216953,224864,293853,387442,393679,355244,344765,330710,379821,385433,312924,237826,152714,167011,89730,41987,8896,784,247766,271552,264666,229165,238238,309133,397873,395937,347041,324870,282123,313884,290648,204981,131770,65904,56364,23386,7654,898,51
32,2020,Belize,21210,21341,20880,20210,16436,17193,15713,13626,12005,9862,8831,7128,5332,3890,2382,1427,954,511,149,19,1,22182,22231,21758,21737,17464,18044,14803,12238,10767,9077,8430,6985,5264,3849,2308,1330,833,383,94,12,1
33,2020,Canada,940292,970839,1003498,973140,1058810,1221602,1289220,1295423,1244808,1191995,1234895,1378732,1303853,1113520,928271,647955,463913,343820,214210,96414,69562,991535,1025087,1059013,1026707,1140089,1306065,1322653,1290930,1214704,1169973,1221105,1361415,1261618,1047084,857561,566706,367218,231406,119547,48708,35707
34,2020,Congo (Kinshasa),9030584,7937540,6475130,5260868,4595971,3897145,3130774,2515007,2009010,1587226,1283750,996114,773315,582520,414923,253813,120616,41982,8856,1015,57,9178384,8034851,6538165,5296720,4611964,3901219,3137389,2529698,2022649,1598642,1269855,950426,696841,487970,319593,177059,74254,22319,3953,375,18
35,2020,Central African Republic,381741,333043,301087,274226,247704,221009,194786,157684,127062,102394,87674,62551,49188,37673,28942,20906,11595,4389,1016,111,6,392224,355457,325439,298108,263229,211866,160699,123710,109536,98746,87605,66891,48573,30147,20717,14433,7294,2590,530,57,4
36,2020,Congo (Brazzaville),392158,365676,331758,243199,209006,192707,181908,167200,140891,114570,89040,66463,51349,37575,25273,16231,9534,3911,994,145,10,400433,374100,335806,246629,208355,189558,163491,153932,148885,129537,101346,73696,51513,33329,20907,12430,6447,2257,486,59,4
37,2020,Switzerland,213044,210478,201654,199493,227188,261710,292846,303425,292142,296050,320203,308095,256336,220006,206516,172279,126320,89464,42436,11207,1271,225718,223588,214755,211523,234667,262183,290513,305490,293808,293961,322719,314306,256483,208377,185992,144089,89575,50611,15650,2198,120
38,2020,Côte d'Ivoire,1821837,1726884,1722187,1497477,1281577,1132302,1014985,824719,700698,587726,458815,256826,219234,182158,129201,73948,34731,11031,2098,210,11,1843824,1736779,1726384,1495334,1278430,1142595,1044384,851202,725413,616915,486445,278120,215883,160411,103258,54430,23371,7028,1211,108,5
39,2020,Cook Islands,260,254,269,289,300,291,224,212,237,320,348,304,237,189,138,122,88,43,15,4,0,276,282,312,341,340,296,215,178,209,311,381,393,291,203,179,104,55,23,4,1,1
40,2020,Chile,583190,591133,584503,578738,654300,708432,694821,650480,580602,602074,625031,624594,523146,400267,314267,239715,156208,86266,38482,8572,1344,607191,615231,609168,601927,681692,733322,714550,660080,579840,592744,601968,577054,458759,334908,247450,169618,94129,40306,13889,2239,256
41,2020,Cameroon,2203570,1908949,1707217,1489154,1287674,1122764,952483,767444,604345,475696,386698,309278,243519,184483,130397,82431,42852,15926,3671,458,27,2244246,1946010,1736888,1506711,1275655,1098998,926607,744423,587676,460808,372349,292856,227916,169698,116236,69861,33689,11362,2311,249,14
42,2020,China,38898766,37227422,35656239,34191682,39684466,48128777,62018343,48596175,45387943,56128753,58451566,47409493,36148014,35544771,23360749,14835509,9800033,5066069,1566158,265655,19348,43933770,43303522,42059047,40312118,45817723,53218977,64173087,50883009,47096321,58099063,60319274,48010856,36816789,34411322,22080119,13084854,7738618,3335783,825071,104871,5852
43,2020,Colombia,2014558,1998617,1946877,1922752,2005559,2040968,1929843,1717581,1556109,1543948,1561490,1399823,1163204,883545,627053,416751,254136,130010,48365,10882,1289,2121786,2102099,2045111,2011336,2084590,2100083,1965274,1721621,1518968,1481152,1470365,1283430,1024357,729403,461395,280750,160042,70000,20056,3225,261
44,2020,Costa Rica,184500,184945,179418,181821,197377,208689,215056,197483,173213,160003,157445,144511,118207,87642,63020,42580,26688,14399,5511,1212,151,193240,193524,187645,189930,205199,215148,220188,204533,177371,159943,152944,137070,110776,81688,56841,36595,19715,8093,2204,315,24
45,2020,Cuba,287027,305776,284019,305891,321434,329251,384538,350274,299375,441352,499052,477749,322406,262411,236674,193676,135051,76575,34748,10561,2050,303874,323638,302140,329268,348934,358031,410967,361481,291336,425812,487919,459584,300650,237692,211790,165086,107210,50706,18068,3970,527
46,2020,Cabo Verde,26442,26570,27202,27062,27340,27506,25769,21995,17544,14270,14810,12892,9910,6642,3728,3839,3599,1679,510,68,7,26908,26867,27233,27087,27345,27255,25029,21293,15897,13250,13295,11708,7393,4479,2631,2198,1838,818,218,25,2
47,2020,Curaçao,4885,4769,4882,4887,4915,5392,5310,4708,3433,4210,4550,6183,5728,4967,3925,2696,1826,949,374,90,12,5135,5004,5066,5070,5368,5820,5543,5034,3631,3952,3779,4753,4400,3584,2883,1871,1091,513,155,25,2
48,2020,Cyprus,33607,32639,30274,31091,39779,48938,48958,50270,45729,43080,43386,41707,37187,30515,24969,17697,10836,5689,2182,481,56,35217,34431,32267,35973,48877,59249,58189,58492,51612,46243,43324,39065,33811,26271,20306,13619,7194,3095,904,154,13
49,2020,Czechia,241880,264563,282918,237805,238026,312864,352440,369200,447190,427086,341611,331736,330187,363318,343258,245614,149440,95177,42828,11428,1106,255706,280476,298264,253197,255171,334988,377579,399034,473049,446354,352348,329535,306859,311914,268293,170555,88844,46691,16176,3097,232
50,2020,Germany,1683969,1669371,1671797,1792859,2061402,2253573,2526335,2450062,2351437,2503115,3289941,3396033,2932779,2593442,2085065,2049397,1884244,963307,457883,146488,20999,1776750,1761217,1764808,1884800,2127887,2298632,2577315,2456231,2351130,2522407,3349719,3433254,2865333,2388514,1843627,1651041,1348387,594193,234035,50666,6376
51,2020,Djibouti,47398,44486,43885,47154,51975,54386,47390,39182,32655,25867,20710,15462,10715,8106,5711,3551,1793,662,159,21,2,47985,44795,43857,44736,44082,41887,35075,27537,21981,17022,13444,11178,8714,6993,4751,2679,1186,369,75,10,1
52,2020,Denmark,154188,149507,165338,168842,184132,196968,178966,165697,179538,197587,203317,196595,174634,163758,166592,132284,84714,48896,24135,8116,1380,163527,156769,174536,177211,193355,205588,187549,170381,182474,198600,205459,198254,172144,156110,154447,116142,66009,31024,11274,2582,308
53,2020,Dominica,2634,2601,2490,2328,2435,2907,2704,2745,2183,2100,3014,2091,1671,1509,1129,916,717,439,181,42,7,2756,2729,2607,2461,2577,3098,2849,2799,2346,2147,2919,2218,1918,1644,1080,750,459,227,79,14,2
54,2020,Dominican Republic,462739,460826,461332,474669,462556,436384,402517,359798,318790,293405,277729,241449,187605,137792,98370,62424,34287,13622,3547,405,26,479071,476495,476303,490184,478311,452130,418662,377390,332082,303455,284096,243611,185954,132368,88894,52122,26110,9059,2150,214,13
55,2020,Algeria,2141786,2163900,1874568,1481600,1438743,1734423,1753307,1748702,1529735,1242339,1078541,896571,694453,502904,359611,237724,165173,98827,37623,9022,1533,2245482,2270757,1967740,1552948,1509342,1824952,1823817,1769083,1556269,1280382,1094125,902269,702531,510380,336296,193225,124687,68551,22845,4618,655
56,2020,Ecuador,695771,707516,722246,732731,742739,702182,668216,615893,564505,492188,434966,380607,314897,252974,184396,135022,89260,49769,20091,4871,619,724678,735699,749994,762009,767143,711664,659091,591121,525788,447803,395874,352937,298540,236864,171124,121523,76040,38484,13632,2715,279
57,2020,Estonia,29913,32857,34399,27594,24840,31199,43972,43191,41343,42534,41257,44707,45990,43714,38852,30331,29070,16506,7579,1797,156,31295,34440,36518,29413,27116,33935,47263,45046,42724,42375,40912,39111,37156,31051,23848,15411,11570,5144,1842,301,24
58,2020,Egypt,6532645,5811837,4533102,4428052,4642526,4587417,4079031,3316485,2819528,2366155,2210211,1754802,1423136,1029329,664142,407646,209733,79580,20179,2645,169,6950262,6230531,4909624,4765124,4920194,4807341,4216229,3317623,2937319,2554618,2205082,1812136,1352949,934066,612726,395017,191764,65017,14704,1728,99
59,2020,Western Sahara,41442,38679,36027,32938,29804,26830,23901,20603,17202,14683,12353,10368,8230,6149,4302,2780,1556,602,153,20,1,42493,39435,36668,33498,30193,26960,23729,20149,16559,13937,11569,9373,7005,5224,3438,2089,1057,369,86,9,1
60,2020,Eritrea,393010,382997,381042,344406,284172,232107,202514,189151,169034,142713,100681,67663,58316,53131,41644,27550,15145,5585,1236,149,10,399140,387514,383865,343705,278725,224087,196207,180452,162560,135433,99972,62460,42816,35130,28196,20176,11045,3960,883,95,5
61,2020,Spain,1003736,1164214,1240391,1148659,1055921,1120840,1268395,1568892,1984687,2050396,1896509,1726157,1519406,1287886,1190768,985903,767189,603338,271229,70261,9725,1067611,1237110,1316414,1218553,1120202,1195978,1381313,1698694,2081284,2102216,1903621,1678748,1426534,1161122,1003400,761361,500687,328401,123109,28397,3688
62,2020,Ethiopia,7855816,7152979,6370513,5667298,4874832,4330612,3822549,3285850,2637481,2102210,1688597,1359962,1073356,812317,568958,343837,174247,62684,14093,1630,91,7995294,7242757,6416740,5671176,4834967,4268578,3760380,3229577,2645233,2126923,1689849,1330776,1019830,739321,487208,277193,125377,39196,7424,724,35
63,2020,Finland,145318,149443,152114,145472,152212,172722,169983,175189,169552,155356,174834,185013,182974,185511,187261,123871,95186,61503,31942,9572,1507,152022,156305,158754,152722,159464,180693,180086,186775,178981,161345,176444,182804,175141,170265,164166,98163,63556,32780,12507,2564,283
64,2020,Fiji,39789,40617,41367,35552,35110,35347,34664,35624,31480,25444,24183,24122,19329,14897,10904,6998,3609,1313,317,44,4,41594,42345,43082,36976,36390,36914,36517,37691,33539,27248,25270,24643,19958,14193,9643,5384,2267,649,112,10,0
65,2020,"Micronesia, Federated States of",4661,4771,5006,5090,4579,4235,4044,4065,3467,3063,2513,2108,1772,1278,721,334,181,96,27,6,1,4838,4916,5151,5157,4520,4054,3943,3711,3330,2661,2242,1983,1628,1174,640,221,79,42,11,1,0
66,2020,Faroe Islands,1749,1576,1581,1698,1759,1895,1640,1024,1271,1406,1598,1531,1487,1298,1188,908,570,376,198,63,10,1877,1686,1678,1846,1854,1979,1918,1418,1535,1629,1799,1689,1532,1357,1237,895,477,262,103,24,3
67,2020,France,1988559,2041964,2053459,2004034,1933833,1921331,1985002,2018125,1970491,2227868,2241811,2231354,2150739,2066986,1926623,1254089,1101200,880762,464321,138709,15785,2081895,2137251,2147608,2096821,2025321,1998795,2051628,2079510,2021011,2262764,2203196,2112790,1973243,1848487,1684958,1028052,771216,486894,188432,38789,3167
68,2020,Gabon,135434,131876,131775,123089,110684,93786,68961,51835,42457,40967,39770,33270,23575,15072,11133,8719,5885,2738,715,108,9,138616,136808,138166,131576,123173,112361,90884,66063,46037,36381,35181,32867,25990,18448,12480,7387,4027,1604,369,53,3
69,2020,United Kingdom,1902613,1889805,1861388,1750328,1941793,2149746,2225281,2098132,1919785,2060537,2296528,2300641,1944277,1689036,1726057,1252356,922732,598858,319939,116065,24191,1999777,1987392,1957456,1839171,2021291,2232302,2323385,2215157,2036491,2174237,2360033,2240648,1905872,1577757,1541113,1041127,689224,379444,163722,47582,8000
70,2020,Grenada,4018,4215,4287,4082,3873,4203,4865,3983,3124,3191,2847,3437,3086,2165,1724,1267,842,394,133,17,1,4414,4636,4607,4137,3890,4136,4767,4026,3430,3563,3213,3645,3118,2240,1606,1040,625,246,65,7,0
71,2020,Georgia,142893,152384,141670,118484,132396,178305,195721,178822,160730,152440,150476,187941,176633,147146,102767,75242,89317,49365,30656,8310,1712,151300,164796,153889,134557,151983,186569,197829,170952,148535,144527,136455,150093,138726,111463,74246,48791,53372,25030,11965,1968,209
72,2020,Guernsey,1547,1561,1602,1593,1884,2129,2185,2012,2091,2348,2734,2549,2204,1871,1957,1227,994,671,386,138,30,1661,1656,1685,1681,1938,2187,2303,2267,2169,2352,2567,2523,2150,1888,1798,1118,826,446,186,51,8
73,2020,Ghana,2182653,2063973,1791789,1538061,1383113,1291414,1221516,1073834,856509,689231,586646,440492,359879,269834,189142,135869,91876,44866,15101,2808,252,2230093,2100777,1818608,1543196,1343315,1196166,1080017,925821,742085,595838,535654,397986,303180,235600,159437,102659,62189,30462,9603,1605,132
